_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-8.3,TRR01259,M1,1,0,TRRUST,34,Regulated by: SP3,,-8.3,5.2,8.1,30293,127,879,19,2.2,0.49,19|768|1000|1030|1839|2192|3486|3487|3569|3673|4017|4023|4129|5327|5329|7402|8091|9021|284217,ABCA1|CA9|CDH2|CDKN2B|HBEGF|FBLN1|IGFBP3|IGFBP4|IL6|ITGA2|LOXL2|LPL|MAOB|PLAT|PLAUR|UTRN|HMGA2|SOCS3|LAMA1,-6.7,0
1,-6.8,TRR01521,M1,1,0,TRRUST,34,Regulated by: VHL,,-6.8,12,9.1,30293,23,879,8,0.91,0.32,285|768|1028|1601|3091|7071|7852|8553,ANGPT2|CA9|CDKN1C|DAB2|HIF1A|KLF10|CXCR4|BHLHE40,-5.3,0
1,-6.6,TRR00270,M1,1,0,TRRUST,34,Regulated by: EP300,,-6.6,6.6,7.6,30293,63,879,12,1.4,0.39,768|1030|1381|1545|2670|3486|3569|3576|3910|4318|4609|7490,CA9|CDKN2B|CRABP1|CYP1B1|GFAP|IGFBP3|IL6|CXCL8|LAMA4|MMP9|MYC|WT1,-5.2,0
1,-6.6,TRR00342,M1,1,0,TRRUST,34,Regulated by: FOS,,-6.6,6.5,7.6,30293,64,879,12,1.4,0.39,1191|1465|1728|3576|4092|4312|4316|4318|4609|4747|5328|5329,CLU|CSRP1|NQO1|CXCL8|SMAD7|MMP1|MMP7|MMP9|MYC|NEFL|PLAU|PLAUR,-5.1,0
1,-6.4,TRR00125,M1,1,0,TRRUST,34,Regulated by: CREB1,,-6.4,4.9,7,30293,105,879,15,1.7,0.44,624|627|2321|3381|3569|3925|4091|5327|5328|6352|6662|7025|7852|9536|27151,BDKRB2|BDNF|FLT1|IBSP|IL6|STMN1|SMAD6|PLAT|PLAU|CCL5|SOX9|NR2F1|CXCR4|PTGES|CPAMD8,-5,0
1,-6.2,TRR00196,M1,1,0,TRRUST,34,Regulated by: DLX5,,-6.2,34,12,30293,4,879,4,0.46,0.23,3381|3486|4609|8660,IBSP|IGFBP3|MYC|IRS2,-4.7,0
1,-5.6,TRR01060,M1,1,0,TRRUST,34,Regulated by: PPARA,,-5.6,7.4,7.2,30293,42,879,9,1,0.34,51|3569|4023|4318|5054|6648|10376|10628|51129,ACOX1|IL6|LPL|MMP9|SERPINE1|SOD2|TUBA1B|TXNIP|ANGPTL4,-4.2,0
1,-5.2,TRR00281,M1,1,0,TRRUST,34,Regulated by: ETS2,,-5.2,7.9,7,30293,35,879,8,0.91,0.32,285|1437|3371|3576|4312|4318|4609|7134,ANGPT2|CSF2|TNC|CXCL8|MMP1|MMP9|MYC|TNNC1,-3.9,0
1,-5.1,TRR00674,M1,1,0,TRRUST,34,Regulated by: KLF4,,-5.1,6.5,6.5,30293,48,879,9,1,0.34,624|1003|1028|3569|3910|5214|6876|9518|284217,BDKRB2|CDH5|CDKN1C|IL6|LAMA4|PFKP|TAGLN|GDF15|LAMA1,-3.8,0
1,-4.9,TRR00199,M1,1,0,TRRUST,34,Regulated by: DNMT3A,,-4.9,14,8,30293,12,879,5,0.57,0.25,1004|3486|3728|6422|6425,CDH6|IGFBP3|JUP|SFRP1|SFRP5,-3.6,0
1,-4.8,TRR01225,M1,1,0,TRRUST,34,Regulated by: SIRT1,,-4.8,6.1,6.3,30293,51,879,9,1,0.34,1728|3075|3090|3091|4318|4609|5080|10397|11096,NQO1|CFH|HIC1|HIF1A|MMP9|MYC|PAX6|NDRG1|ADAMTS5,-3.6,0
1,-4.8,TRR01419,M1,1,0,TRRUST,34,Regulated by: TP53,,-4.8,3.3,5.4,30293,176,879,17,1.9,0.46,624|1263|1462|1843|2247|2321|3486|4312|4609|5783|6513|6752|7057|8870|9518|27063|84168,BDKRB2|PLK3|VCAN|DUSP1|FGF2|FLT1|IGFBP3|MMP1|MYC|PTPN13|SLC2A1|SSTR2|THBS1|IER3|GDF15|ANKRD1|ANTXR1,-3.5,0
1,-4.7,TRR00274,M1,1,0,TRRUST,34,Regulated by: ERG,,-4.7,8,6.7,30293,30,879,7,0.8,0.3,1003|2247|3576|5292|7033|7431|7852,CDH5|FGF2|CXCL8|PIM1|TFF3|VIM|CXCR4,-3.4,0
1,-4.7,TRR00872,M1,1,0,TRRUST,34,Regulated by: NFIC,,-4.7,8,6.7,30293,30,879,7,0.8,0.3,2173|2670|2983|3569|7980|8660|80781,FABP7|GFAP|GUCY1B1|IL6|TFPI2|IRS2|COL18A1,-3.4,0
1,-4.7,TRR00675,M1,1,0,TRRUST,34,Regulated by: KLF5,,-4.7,13,7.6,30293,13,879,5,0.57,0.25,1030|3091|3689|4318|7852,CDKN2B|HIF1A|ITGB2|MMP9|CXCR4,-3.4,0
1,-4.7,TRR00877,M1,1,0,TRRUST,34,Regulated by: NFKBIA,,-4.7,9.8,7,30293,21,879,6,0.68,0.28,3576|4312|4318|6277|6352|7185,CXCL8|MMP1|MMP9|S100A6|CCL5|TRAF1,-3.4,0
1,-4.7,TRR00110,M1,1,0,TRRUST,34,Regulated by: CEBPB,,-4.7,5.1,5.9,30293,67,879,10,1.1,0.36,1465|3569|3576|4312|5783|6288|6289|7033|7130|9518,CSRP1|IL6|CXCL8|MMP1|PTPN13|SAA1|SAA2|TFF3|TNFAIP6|GDF15,-3.4,0
1,-4.6,TRR00519,M1,1,0,TRRUST,34,Regulated by: HOXC6,,-4.6,34,10,30293,3,879,3,0.34,0.2,3486|4311|4321,IGFBP3|MME|MMP12,-3.4,0
1,-4.6,TRR00466,M1,1,0,TRRUST,34,Regulated by: HDAC1,,-4.6,4.6,5.7,30293,82,879,11,1.3,0.37,597|864|894|3122|3486|3576|4092|4318|6422|10628|25805,BCL2A1|RUNX3|CCND2|HLA-DRA|IGFBP3|CXCL8|SMAD7|MMP9|SFRP1|TXNIP|BAMBI,-3.3,0
1,-4.3,TRR01560,M1,1,0,TRRUST,34,Regulated by: ZFP36,,-4.3,17,7.9,30293,8,879,4,0.46,0.23,3091|3569|3576|5055,HIF1A|IL6|CXCL8|SERPINB2,-3.1,0
1,-4.1,TRR01055,M1,1,0,TRRUST,34,Regulated by: POU3F2,,-4.1,15,7.4,30293,9,879,4,0.46,0.23,1012|2173|5077|8654,CDH13|FABP7|PAX3|PDE5A,-2.9,0
1,-4,TRR00647,M1,1,0,TRRUST,34,Regulated by: JUND,,-4,6.3,5.7,30293,38,879,7,0.8,0.3,1191|1728|3569|5327|5329|6352|7040,CLU|NQO1|IL6|PLAT|PLAUR|CCL5|TGFB1,-2.8,0
1,-4,TRR00780,M1,1,0,TRRUST,34,Regulated by: MYC,,-4,3.7,4.9,30293,112,879,12,1.4,0.39,445|894|3569|3726|3939|4311|4321|5230|6422|7852|8870|10397,ASS1|CCND2|IL6|JUNB|LDHA|MME|MMP12|PGK1|SFRP1|CXCR4|IER3|NDRG1,-2.8,0
