_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-4.9,M39288,M1,1,0,Cell Type Signatures,7,DURANTE ADULT OLFACTORY NEUROEPITHELIUM IMMATURE NEURONS,,-4.9,3.7,5.6,30293,139,879,15,1.7,0.44,794|1152|3800|3925|4082|4684|5270|6664|6695|8618|11075|56884|64641|165215|253738,CALB2|CKB|KIF5C|STMN1|MARCKS|NCAM1|SERPINE2|SOX11|SPOCK1|CADPS|STMN2|FSTL5|EBF2|FAM171B|EBF3,-3.6,0
1,-4.9,M41715,M1,1,0,Cell Type Signatures,7,FAN OVARY CL13 MONOCYTE MACROPHAGE,,-4.9,2.3,5,30293,458,879,31,3.5,0.62,60|301|597|1843|2512|3122|3576|3638|3689|3939|4082|4318|5216|5230|5329|5996|6277|6281|6303|6648|7852|8407|8870|9123|9516|10123|10602|11010|23406|79572|84419,ACTB|ANXA1|BCL2A1|DUSP1|FTL|HLA-DRA|CXCL8|INSIG1|ITGB2|LDHA|MARCKS|MMP9|PFN1|PGK1|PLAUR|RGS1|S100A6|S100A10|SAT1|SOD2|CXCR4|TAGLN2|IER3|SLC16A3|LITAF|ARL4C|CDC42EP3|GLIPR1|COTL1|ATP13A3|C15orf48,-3.6,0
1,-4.8,M39315,M1,1,0,Cell Type Signatures,7,CUI DEVELOPING HEART LEFT ATRIAL CARDIOMYOCYTE,,-4.8,10,7.2,30293,20,879,6,0.68,0.28,794|2273|5066|5292|6422|7025,CALB2|FHL1|PAM|PIM1|SFRP1|NR2F1,-3.5,0
1,-4.8,M39265,M1,1,0,Cell Type Signatures,7,HU FETAL RETINA HORIZONTAL,,-4.8,6.9,6.4,30293,40,879,8,0.91,0.32,3925|4211|4826|5080|5792|11075|26047|29114,STMN1|MEIS1|NNAT|PAX6|PTPRF|STMN2|CNTNAP2|TAGLN3,-3.5,0
1,-4.8,M40273,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL PANCREAS MESOTHELIAL CELLS,,-4.8,4.8,5.8,30293,79,879,11,1.3,0.37,1295|1301|2619|7138|7490|7980|8854|9052|51200|122060|342527,COL8A1|COL11A1|GAS1|TNNT1|WT1|TFPI2|ALDH1A2|GPRC5A|CPA4|SLAIN1|SMTNL2,-3.5,0
1,-4.7,M39109,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C5 NK NKT CELLS 3,,-4.7,3.8,5.5,30293,126,879,14,1.6,0.42,864|894|969|3689|4684|5216|6352|6850|7852|8519|10320|10417|10659|55784,RUNX3|CCND2|CD69|ITGB2|NCAM1|PFN1|CCL5|SYK|CXCR4|IFITM1|IKZF1|SPON2|CELF2|MCTP2,-3.5,0
1,-4.7,M39231,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C12 THICK ASCENDING LIMB,,-4.7,2.4,4.9,30293,381,879,27,3.1,0.58,1152|2621|4008|4897|5230|5328|5502|5919|6277|6281|6382|6422|6493|6819|7103|9194|9547|9588|51142|56243|63976|64787|79971|80781|90161|158326|202151,CKB|GAS6|LMO7|NRCAM|PGK1|PLAU|PPP1R1A|RARRES2|S100A6|S100A10|SDC1|SFRP1|SIM2|SULT1C2|TSPAN8|SLC16A7|CXCL14|PRDX6|CHCHD2|KIAA1217|PRDM16|EPS8L2|WLS|COL18A1|HS6ST2|FREM1|RANBP3L,-3.4,0
1,-4.7,M40033,M1,1,0,Cell Type Signatures,7,BUSSLINGER DUODENAL TUFT CELLS,,-4.7,4.7,5.7,30293,81,879,11,1.3,0.37,3055|4495|4502|5742|6662|6689|7168|28959|57211|79789|115207,HCK|MT1G|MT2A|PTGS1|SOX9|SPIB|TPM1|TMEM176B|ADGRG6|CLMN|KCTD12,-3.4,0
1,-4.7,M39080,M1,1,0,Cell Type Signatures,7,ZHONG PFC C7 ORG UNDERGOING NEURONAL DIFFERENTIATION,,-4.7,5.1,5.9,30293,67,879,10,1.1,0.36,8507|9644|10397|10512|10752|50863|57211|57406|59283|114795,ENC1|SH3PXD2A|NDRG1|SEMA3C|CHL1|NTM|ADGRG6|ABHD6|CACNG8|TMEM132B,-3.4,0
1,-4.6,M40291,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL SPLEEN STROMAL CELLS,,-4.6,5.7,6,30293,54,879,9,1,0.34,147|2138|4045|8618|8633|26047|51334|63876|83857,ADRA1B|EYA1|LSAMP|CADPS|UNC5C|CNTNAP2|PRR16|PKNOX2|TMTC1,-3.4,0
