_MEMBER_modules_epi_black_sorted_top300,_MEMBER_modules_epi_blue_sorted_top300,_MEMBER_modules_epi_pink_sorted_top300,_MEMBER_modules_epi_red_sorted_top300,_MEMBER_modules_epi_turquoise_sorted_top300,_MEMBER_modules_epi_yellow_sorted_top300,_LogP_modules_epi_black_sorted_top300,_LogP_modules_epi_blue_sorted_top300,_LogP_modules_epi_pink_sorted_top300,_LogP_modules_epi_red_sorted_top300,_LogP_modules_epi_turquoise_sorted_top300,_LogP_modules_epi_yellow_sorted_top300,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,0,1,1,1,1,-14,0,-4.7,-3.6,-19,-11,M41697,M101111,5,0,Cell Type Signatures,7,TRAVAGLINI LUNG EREG DENDRITIC CELL,,-19,6.5,13,30293,579,300,37,12,1.9,87|329|388|467|960|1843|2004|2771|2782|3840|4616|4688|6498|7045|7171|7791|8301|8682|8728|8935|9260|9590|10409|11010|11031|11177|23433|23710|29940|57142|57514|81631|84002|84419|123920|127544|285590,ACTN1|BIRC2|RHOB|ATF3|CD44|DUSP1|ELK3|GNAI2|GNB1|KPNA4|GADD45B|NCF2|SKIL|TGFBI|TPM4|ZYX|PICALM|PEA15|ADAM19|SKAP2|PDLIM7|AKAP12|BASP1|GLIPR1|RAB31|BAZ1A|RHOQ|GABARAPL1|DSE|RTN4|ARHGAP31|MAP1LC3B|B3GNT5|C15orf48|CMTM3|RNF19B|SH3PXD2B,-15,0
0,1,0,1,0,0,0,-18,0,-4,0,0,M39118,M010100,2,0,Cell Type Signatures,7,AIZARANI LIVER C14 HEPATOCYTES 2,,-18,11,15,30293,226,299,25,8.4,1.6,216|283|335|336|341|350|433|1191|2109|2147|2593|2705|3249|3638|5176|5345|5950|6342|7276|51084|51085|55937|92840|134147|201895,ALDH1A1|ANG|APOA1|APOA2|APOC1|APOH|ASGR2|CLU|ETFB|F2|GAMT|GJB1|HPN|INSIG1|SERPINF1|SERPINF2|RBP4|SCP2|TTR|CRYL1|MLXIPL|APOM|REEP6|CMBL|SMIM14,-15,0
1,1,1,1,0,1,-8.5,-6.8,-6,-17,0,-8.5,M40175,M111101,5,0,Cell Type Signatures,7,DESCARTES FETAL EYE CORNEAL AND CONJUNCTIVAL EPITHELIAL CELLS,,-17,10,15,30293,243,300,25,8.3,1.6,360|1396|1832|2064|3856|3866|3875|3880|4680|5265|6286|6296|7348|9022|9518|10103|10232|23584|54869|79660|80139|80736|94122|147798|440335,AQP3|CRIP1|DSP|ERBB2|KRT8|KRT15|KRT18|KRT19|CEACAM6|SERPINA1|S100P|ACSM3|UPK1B|CLIC3|GDF15|TSPAN1|MSLN|VSIG2|EPS8L1|PPP1R3B|ZNF703|SLC44A4|SYTL5|TMC4|SMIM22,-14,0
1,0,1,1,1,1,-6.3,0,-2.7,-8.5,-17,-13,M41659,M101111,5,0,Cell Type Signatures,7,TRAVAGLINI LUNG ALVEOLAR EPITHELIAL TYPE 1 CELL,,-17,7.7,13,30293,391,300,30,10,1.7,467|1030|1843|1849|1906|2316|3491|4092|4133|4616|4739|5947|6876|7077|7126|7171|7476|8676|10938|10979|11031|11099|22979|26353|27295|51177|55700|57493|84617|91252,ATF3|CDKN2B|DUSP1|DUSP7|EDN1|FLNA|CCN1|SMAD7|MAP2|GADD45B|NEDD9|RBP1|TAGLN|TIMP2|TNFAIP1|TPM4|WNT7A|STX11|EHD1|FERMT2|RAB31|PTPN21|EFR3B|HSPB8|PDLIM3|PLEKHO1|MAP7D1|HEG1|TUBB6|SLC39A13,-14,0
1,1,0,1,0,1,-4.4,-16,0,-7,0,-7.9,M40012,M110101,4,0,Cell Type Signatures,7,BUSSLINGER GASTRIC IMMATURE PIT CELLS,,-16,12,15,30293,165,299,20,6.7,1.4,283|1728|3170|5874|6819|7103|7358|8537|10099|10551|11199|23446|50853|51316|83998|84418|114569|134147|201501|340547,ANG|NQO1|FOXA2|RAB27B|SULT1C2|TSPAN8|UGDH|BCAS1|TSPAN3|AGR2|ANXA10|SLC44A1|VILL|PLAC8|REG4|CYSTM1|MAL2|CMBL|ZBTB7C|VSIG1,-12,0
1,0,1,1,1,1,-2.8,0,-3.6,-2.4,-15,-3.6,M39209,M101111,5,0,Cell Type Signatures,7,HAY BONE MARROW STROMAL,,-15,5,11,30293,765,300,38,13,1.9,220|390|467|800|1809|1903|3371|3491|3694|4053|4616|5947|5998|6236|6876|8460|8463|9469|10085|10979|11099|23022|24145|26064|27289|29995|51655|55740|56920|56937|56999|65059|80381|84557|122786|259217|285590|389136,ALDH1A3|RND3|ATF3|CALD1|DPYSL3|S1PR3|TNC|CCN1|ITGB6|LTBP2|GADD45B|RBP1|RGS3|RRAD|TAGLN|TPST1|TEAD2|CHST3|EDIL3|FERMT2|PTPN21|PALLD|PANX1|RAI14|RND1|LMCD1|RASD1|ENAH|SEMA3G|PMEPA1|ADAMTS9|RAPH1|CD276|MAP1LC3A|FRMD6|HSPA12A|SH3PXD2B|VGLL3,-12,0
0,1,0,1,0,0,0,-15,0,-5.7,0,0,M39115,M010100,2,0,Cell Type Signatures,7,AIZARANI LIVER C11 HEPATOCYTES 1,,-15,8.5,13,30293,298,299,25,8.4,1.6,216|283|335|336|341|350|433|727|847|1191|2147|2330|3249|3638|3698|5176|5345|5950|6342|7276|25840|51085|55937|134147|201895,ALDH1A1|ANG|APOA1|APOA2|APOC1|APOH|ASGR2|C5|CAT|CLU|F2|FMO5|HPN|INSIG1|ITIH2|SERPINF1|SERPINF2|RBP4|SCP2|TTR|TMT1A|MLXIPL|APOM|CMBL|SMIM14,-12,0
0,0,0,1,1,0,0,0,0,-3.2,-15,0,M39167,M000110,2,0,Cell Type Signatures,7,GAO LARGE INTESTINE ADULT CJ IMMUNE CELLS,,-15,6.2,12,30293,505,300,31,10,1.8,220|800|1004|1809|1903|2113|2316|4053|4131|4478|5947|7045|7077|8642|8728|9260|10763|10979|22885|23129|25960|26064|27151|51339|57493|84547|84617|122786|170954|339761|439921,ALDH1A3|CALD1|CDH6|DPYSL3|S1PR3|ETS1|FLNA|LTBP2|MAP1B|MSN|RBP1|TGFBI|TIMP2|DCHS1|ADAM19|PDLIM7|NES|FERMT2|ABLIM3|PLXND1|ADGRA2|RAI14|CPAMD8|DACT1|HEG1|PGBD1|TUBB6|FRMD6|PPP1R18|CYP27C1|MXRA7,-12,0
1,1,1,1,1,1,-15,-6.2,-2.4,-2.8,-11,-8,M39037,M111111,6,0,Cell Type Signatures,7,FAN EMBRYONIC CTX OLIG,,-15,5,11,30293,754,300,37,12,1.9,1318|1540|2120|3267|3306|3572|5151|6810|7763|8502|8611|9367|9926|10435|10553|11221|11226|23048|23120|23247|23507|25829|51094|51228|55129|56951|57162|57698|64423|64759|80270|80854|85464|94015|135112|148362|219333,SLC31A2|CYLD|ETV6|AGFG1|HSPA2|IL6ST|PDE8A|STX4|ZFAND5|PKP4|PLPP1|RAB9A|LPGAT1|CDC42EP2|HTATIP2|DUSP10|GALNT6|FNBP1|ATP10B|KATNIP|LRRC8B|TMEM184B|ADIPOR1|GLTP|ANO10|C5orf15|PELI1|SHTN1|INF2|TNS3|HSD3B7|SETD7|SSH2|TTYH2|NCOA7|BROX|USP12,-12,0
1,1,1,1,1,1,-14,-7.1,-11,-4.1,-2.7,-7.7,M39051,M111111,6,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HMGL,,-14,5.6,11,30293,577,300,32,11,1.8,162|330|1535|2920|3162|3383|3572|3576|3656|3659|4067|4772|4773|4792|4938|5328|5966|6446|6648|6776|6778|10019|23191|50618|55332|56829|57674|79651|83666|148022|148932|387882,AP1B1|BIRC3|CYBA|CXCL2|HMOX1|ICAM1|IL6ST|CXCL8|IRAK2|IRF1|LYN|NFATC1|NFATC2|NFKBIA|OAS1|PLAU|REL|SGK1|SOD2|STAT5A|STAT6|SH2B3|CYFIP1|ITSN2|DRAM1|ZC3HAV1|RNF213|RHBDF2|PARP9|TICAM1|MOB3C|C12orf75,-11,0
