Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0051492,regulation of stress fiber assembly,19_GO:0050789 regulation of biological process,-7.5,13,10,30286,94,223,9,4,1.3,71|387|389|1490|5216|5879|7046|7168|10391,ACTG1|RHOA|RHOC|CCN2|PFN1|RAC1|TGFBR1|TPM1|CORO2B,-5.1,up_common_genes
Hallmark Gene Sets,23,M5891,HALLMARK HYPOXIA,,-7.5,8.1,8.7,30286,200,223,12,5.4,1.5,633|1490|3486|3491|5054|5329|7045|8553|8609|8870|9469|25819,BGN|CCN2|IGFBP3|CCN1|SERPINE1|PLAUR|TGFBI|BHLHE40|KLF7|IER3|CHST3|NOCT,-5.1,up_common_genes
Hallmark Gene Sets,23,M5915,HALLMARK APICAL JUNCTION,,-7.5,8.1,8.7,30286,200,223,12,5.4,1.5,60|71|649|1265|3918|4478|5216|6237|7045|7408|10000|51148,ACTB|ACTG1|BMP1|CNN2|LAMC2|MSN|PFN1|RRAS|TGFBI|VASP|AKT3|CERCAM,-5.1,up_common_genes
GO Biological Processes,19,GO:0000902,cell morphogenesis,19_GO:0032502 developmental process,-7.4,4.2,7.2,30286,681,223,21,9.4,2,60|71|387|832|1000|1499|1906|1943|3976|5879|6259|6760|7345|7408|8408|8482|8609|9253|23022|84446|122786,ACTB|ACTG1|RHOA|CAPZB|CDH2|CTNNB1|EDN1|EFNA2|LIF|RAC1|RYK|SS18|UCHL1|VASP|ULK1|SEMA7A|KLF7|NUMBL|PALLD|BRSK1|FRMD6,-5.1,up_common_genes
Reactome Gene Sets,6,R-HSA-109582,Hemostasis,,-7.4,4.4,7.3,30286,622,223,20,9,1.9,60|387|481|832|1072|1277|3685|4097|4893|5054|5216|5270|5271|5329|5879|8407|8793|9564|55605|80228,ACTB|RHOA|ATP1B1|CAPZB|CFL1|COL1A1|ITGAV|MAFG|NRAS|SERPINE1|PFN1|SERPINE2|SERPINB8|PLAUR|RAC1|TAGLN2|TNFRSF10D|BCAR1|KIF21A|ORAI2,-5.1,up_common_genes
WikiPathways,27,WP366,TGF beta signaling pathway,,-7.3,10,9.2,30286,132,223,10,4.5,1.4,387|1030|2354|3371|3726|5879|6498|7041|7046|9564,RHOA|CDKN2B|FOSB|TNC|JUNB|RAC1|SKIL|TGFB1I1|TGFBR1|BCAR1,-5,up_common_genes
Reactome Gene Sets,6,R-HSA-1474244,Extracellular matrix organization,,-7.2,6.3,8,30286,300,223,14,6.3,1.6,633|649|1277|1298|1311|3371|3685|3918|4017|4053|5045|5054|8728|30008,BGN|BMP1|COL1A1|COL9A2|COMP|TNC|ITGAV|LAMC2|LOXL2|LTBP2|FURIN|SERPINE1|ADAM19|EFEMP2,-5,up_common_genes
KEGG Pathway,24,hsa04015,Rap1 signaling pathway,,-7.2,7.8,8.5,30286,210,223,12,5.4,1.5,60|71|387|1499|1943|4893|5216|5879|6237|7408|9564|10000,ACTB|ACTG1|RHOA|CTNNB1|EFNA2|NRAS|PFN1|RAC1|RRAS|VASP|BCAR1|AKT3,-5,up_common_genes
GO Biological Processes,19,GO:0002009,morphogenesis of an epithelium,19_GO:0032502 developmental process,-7.2,5,7.5,30286,458,223,17,7.6,1.8,60|71|387|389|1499|1906|3212|3371|3491|3685|4478|5216|5534|7041|7408|57591|84446,ACTB|ACTG1|RHOA|RHOC|CTNNB1|EDN1|HOXB2|TNC|CCN1|ITGAV|MSN|PFN1|PPP3R1|TGFB1I1|VASP|MRTFA|BRSK1,-5,up_common_genes
GO Biological Processes,19,GO:1902905,positive regulation of supramolecular fiber organization,19_GO:0048518 positive regulation of biological process,-7.1,8.5,8.6,30286,175,223,11,4.9,1.5,387|389|1490|1906|5216|5879|7046|7168|7408|11346|30008,RHOA|RHOC|CCN2|EDN1|PFN1|RAC1|TGFBR1|TPM1|VASP|SYNPO|EFEMP2,-4.9,up_common_genes
GO Biological Processes,19,GO:0010634,positive regulation of epithelial cell migration,19_GO:0040011 locomotion,-7,8.4,8.6,30286,177,223,11,4.9,1.5,1906|3315|5216|5743|5879|6237|9564|10000|25960|80149|152007,EDN1|HSPB1|PFN1|PTGS2|RAC1|RRAS|BCAR1|AKT3|ADGRA2|ZC3H12A|GLIPR2,-4.8,up_common_genes
Reactome Gene Sets,6,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,,-7,4.6,7.2,30286,534,223,18,8.1,1.8,60|71|387|1277|1298|1499|2354|3315|3685|3726|3918|4688|4893|5045|5879|9564|10000|10221,ACTB|ACTG1|RHOA|COL1A1|COL9A2|CTNNB1|FOSB|HSPB1|ITGAV|JUNB|LAMC2|NCF2|NRAS|FURIN|RAC1|BCAR1|AKT3|TRIB1,-4.8,up_common_genes
GO Biological Processes,19,GO:0032535,regulation of cellular component size,19_GO:0065007 biological regulation,-6.9,5.5,7.5,30286,370,223,15,6.7,1.7,387|832|1906|2664|4478|5216|5879|6259|6560|7408|8408|8482|10000|56262|91663,RHOA|CAPZB|EDN1|GDI1|MSN|PFN1|RAC1|RYK|SLC12A4|VASP|ULK1|SEMA7A|AKT3|LRRC8A|MYADM,-4.7,up_common_genes
GO Biological Processes,19,GO:0098609,cell-cell adhesion,19_GO:0009987 cellular process,-6.9,4.5,7.1,30286,542,223,18,8.1,1.8,60|71|1000|1266|1311|1465|1499|3315|3491|3685|4478|5271|6282|11149|23022|51148|55679|60626,ACTB|ACTG1|CDH2|CNN3|COMP|CSRP1|CTNNB1|HSPB1|CCN1|ITGAV|MSN|SERPINB8|S100A11|BVES|PALLD|CERCAM|LIMS2|RIC8A,-4.7,up_common_genes
GO Biological Processes,19,GO:0110053,regulation of actin filament organization,19_GO:0050789 regulation of biological process,-6.9,6.5,7.8,30286,273,223,13,5.8,1.6,71|387|389|832|1490|5216|5879|7046|7168|7408|10391|11346|91663,ACTG1|RHOA|RHOC|CAPZB|CCN2|PFN1|RAC1|TGFBR1|TPM1|VASP|CORO2B|SYNPO|MYADM,-4.7,up_common_genes
GO Biological Processes,19,GO:0043408,regulation of MAPK cascade,19_GO:0050896 response to stimulus,-6.9,4.1,6.9,30286,669,223,20,9,1.9,1000|1490|1499|1815|1906|3486|3491|3589|3624|3976|4294|4616|6237|6259|7345|8482|51339|80149|113277|152007,CDH2|CCN2|CTNNB1|DRD4|EDN1|IGFBP3|CCN1|IL11|INHBA|LIF|MAP3K10|GADD45B|RRAS|RYK|UCHL1|SEMA7A|DACT1|ZC3H12A|TMEM106A|GLIPR2,-4.7,up_common_genes
KEGG Pathway,24,hsa04810,Regulation of actin cytoskeleton,,-6.8,7.1,8,30286,229,223,12,5.4,1.5,60|71|387|1072|3685|4478|4893|5216|5879|6237|9564|10000,ACTB|ACTG1|RHOA|CFL1|ITGAV|MSN|NRAS|PFN1|RAC1|RRAS|BCAR1|AKT3,-4.7,up_common_genes
GO Biological Processes,19,GO:0061448,connective tissue development,19_GO:0032502 developmental process,-6.8,7.1,8,30286,231,223,12,5.4,1.5,633|649|1277|1311|1490|1499|1906|3491|7045|81029|91252|140606,BGN|BMP1|COL1A1|COMP|CCN2|CTNNB1|EDN1|CCN1|TGFBI|WNT5B|SLC39A13|SELENOM,-4.6,up_common_genes
GO Biological Processes,19,GO:0008361,regulation of cell size,19_GO:0065007 biological regulation,-6.8,7.9,8.2,30286,188,223,11,4.9,1.5,387|1906|2664|4478|5879|6259|6560|8408|8482|10000|56262,RHOA|EDN1|GDI1|MSN|RAC1|RYK|SLC12A4|ULK1|SEMA7A|AKT3|LRRC8A,-4.6,up_common_genes
WikiPathways,27,WP51,Regulation of actin cytoskeleton,,-6.7,9.1,8.5,30286,150,223,10,4.5,1.4,60|71|387|1072|4478|4893|5216|5879|6237|9564,ACTB|ACTG1|RHOA|CFL1|MSN|NRAS|PFN1|RAC1|RRAS|BCAR1,-4.6,up_common_genes
Reactome Gene Sets,6,R-HSA-446728,Cell junction organization,,-6.7,11,8.9,30286,115,223,9,4,1.3,60|71|1000|1499|3918|7408|8728|55679|80149,ACTB|ACTG1|CDH2|CTNNB1|LAMC2|VASP|ADAM19|LIMS2|ZC3H12A,-4.6,up_common_genes
KEGG Pathway,24,hsa04670,Leukocyte transendothelial migration,,-6.7,11,8.9,30286,115,223,9,4,1.3,60|71|387|1499|4478|4688|5879|7408|9564,ACTB|ACTG1|RHOA|CTNNB1|MSN|NCF2|RAC1|VASP|BCAR1,-4.6,up_common_genes
GO Biological Processes,19,GO:0001501,skeletal system development,19_GO:0032502 developmental process,-6.7,4.6,7,30286,501,223,17,7.6,1.8,387|633|649|1277|1298|1311|1490|1499|1906|3212|3491|4188|6259|7045|7046|7353|81029,RHOA|BGN|BMP1|COL1A1|COL9A2|COMP|CCN2|CTNNB1|EDN1|HOXB2|CCN1|MDFI|RYK|TGFBI|TGFBR1|UFD1|WNT5B,-4.6,up_common_genes
GO Biological Processes,19,GO:0010638,positive regulation of organelle organization,19_GO:0048518 positive regulation of biological process,-6.6,4.6,7,30286,504,223,17,7.6,1.8,387|389|666|1490|1499|1906|4478|5216|5329|5879|7046|7168|7408|8408|10962|11346|51100,RHOA|RHOC|BOK|CCN2|CTNNB1|EDN1|MSN|PFN1|PLAUR|RAC1|TGFBR1|TPM1|VASP|ULK1|MLLT11|SYNPO|SH3GLB1,-4.5,up_common_genes
GO Biological Processes,19,GO:1902903,regulation of supramolecular fiber organization,19_GO:0050789 regulation of biological process,-6.6,5.2,7.2,30286,392,223,15,6.7,1.7,71|387|389|832|1490|1906|5216|5879|7046|7168|7408|10391|11346|30008|91663,ACTG1|RHOA|RHOC|CAPZB|CCN2|EDN1|PFN1|RAC1|TGFBR1|TPM1|VASP|CORO2B|SYNPO|EFEMP2|MYADM,-4.5,up_common_genes
WikiPathways,27,WP4816,TGF beta receptor signaling in skeletal dysplasias,,-6.6,16,10,30286,59,223,7,3.1,1.2,1499|3624|3976|5054|6498|7046|9719,CTNNB1|INHBA|LIF|SERPINE1|SKIL|TGFBR1|ADAMTSL2,-4.5,up_common_genes
GO Biological Processes,19,GO:0001701,in utero embryonic development,19_GO:0032502 developmental process,-6.6,5.2,7.2,30286,395,223,15,6.7,1.7,1499|1603|1906|3491|3726|3976|4097|4188|5045|6498|7046|9546|60626|80790|123920,CTNNB1|DAD1|EDN1|CCN1|JUNB|LIF|MAFG|MDFI|FURIN|SKIL|TGFBR1|APBA3|RIC8A|CMIP|CMTM3,-4.5,up_common_genes
GO Biological Processes,19,GO:0032956,regulation of actin cytoskeleton organization,19_GO:0050789 regulation of biological process,-6.5,5.5,7.3,30286,344,223,14,6.3,1.6,71|387|389|832|1490|1906|5216|5879|7046|7168|7408|10391|11346|91663,ACTG1|RHOA|RHOC|CAPZB|CCN2|EDN1|PFN1|RAC1|TGFBR1|TPM1|VASP|CORO2B|SYNPO|MYADM,-4.5,up_common_genes
GO Biological Processes,19,GO:0090066,regulation of anatomical structure size,19_GO:0065007 biological regulation,-6.5,4.5,6.9,30286,516,223,17,7.6,1.8,387|832|1311|1906|2664|4478|5216|5743|5879|6259|6560|7408|8408|8482|10000|56262|91663,RHOA|CAPZB|COMP|EDN1|GDI1|MSN|PFN1|PTGS2|RAC1|RYK|SLC12A4|VASP|ULK1|SEMA7A|AKT3|LRRC8A|MYADM,-4.4,up_common_genes
Reactome Gene Sets,6,R-HSA-373755,Semaphorin interactions,,-6.3,15,9.5,30286,65,223,7,3.1,1.2,387|389|1072|1809|5879|6237|8482,RHOA|RHOC|CFL1|DPYSL3|RAC1|RRAS|SEMA7A,-4.3,up_common_genes
