_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
0,0,0,1,1,1,0,0,0,0,0,-8,-12,-5.9,0,0,M39176,M00011100,3,0,Cell Type Signatures,7,MURARO PANCREAS ENDOTHELIAL CELL,,-12,7.9,11,30286,362,223,21,9.4,2,633|1072|1499|1809|2004|3685|4162|4478|5054|5791|6578|7046|8682|11031|11346|56262|56937|57514|83786|91010|170954,BGN|CFL1|CTNNB1|DPYSL3|ELK3|ITGAV|MCAM|MSN|SERPINE1|PTPRE|SLCO2A1|TGFBR1|PEA15|RAB31|SYNPO|LRRC8A|PMEPA1|ARHGAP31|FRMD8|FMNL3|PPP1R18,-9.3,0
0,0,0,1,1,1,0,0,0,0,0,-12,-10,-3.2,0,0,M39135,M00011100,3,0,Cell Type Signatures,7,AIZARANI LIVER C39 EPCAM POS BILE DUCT CELLS 4,,-12,14,13,30286,184,162,14,8.6,2.2,1435|2919|3304|3576|3696|4791|4792|6277|6372|6385|6648|6659|9076|27242,CSF1|CXCL1|HSPA1B|CXCL8|ITGB8|NFKB2|NFKBIA|S100A6|CXCL6|SDC4|SOD2|SOX4|CLDN1|TNFRSF21,-8.8,0
0,0,1,1,1,1,0,0,0,0,-3.5,-3.5,-12,-3,0,0,M39128,M00111100,4,0,Cell Type Signatures,7,AIZARANI LIVER C29 MVECS 2,,-12,8.2,11,30286,313,223,19,8.5,1.9,633|1397|1465|1490|1809|1906|2004|2354|3315|3486|3491|5054|6578|8407|8682|11346|57514|80790|91663,BGN|CRIP2|CSRP1|CCN2|DPYSL3|EDN1|ELK3|FOSB|HSPB1|IGFBP3|CCN1|SERPINE1|SLCO2A1|TAGLN2|PEA15|SYNPO|ARHGAP31|CMIP|MYADM,-8.6,0
1,1,0,1,1,0,1,0,-2.8,-12,0,-2.7,-6.4,0,-2.4,0,M40012,M11011010,5,0,Cell Type Signatures,7,BUSSLINGER GASTRIC IMMATURE PIT CELLS,,-12,9.6,12,30286,165,324,17,5.2,1.2,218|760|3248|6819|7032|7103|7850|8537|10551|11199|57016|83998|114569|165679|201501|340547|388743,ALDH3A1|CA2|HPGD|SULT1C2|TFF2|TSPAN8|IL1R2|BCAS1|AGR2|ANXA10|AKR1B10|REG4|MAL2|SPTSSB|ZBTB7C|VSIG1|CAPN8,-8.5,0
0,0,1,1,1,1,0,1,0,0,-12,-6.1,-10,-4.9,0,-5.3,M39209,M00111101,5,0,Cell Type Signatures,7,HAY BONE MARROW STROMAL,,-12,5.2,9.7,30286,765,206,27,13,2.4,249|1842|2059|2273|5157|5217|5468|5730|5764|6495|6542|7291|8613|10266|10351|10579|23580|25890|55068|57664|79901|81578|116535|127435|219348|219654|399474,ALPL|ECM2|EPS8|FHL1|PDGFRL|PFN2|PPARG|PTGDS|PTN|SIX1|SLC7A2|TWIST1|PLPP3|RAMP2|ABCA8|TACC2|CDC42EP4|ABI3BP|ENOX1|PLEKHA4|CYBRD1|COL21A1|MRGPRF|PODN|PLAC9|ZCCHC24|TMEM200B,-8.5,0
0,0,0,1,1,1,0,0,0,0,0,-5.7,-11,-2.9,0,0,M39302,M00011100,3,0,Cell Type Signatures,7,CUI DEVELOPING HEART C5 VALVAR CELL,,-11,10,12,30286,208,223,16,7.2,1.7,378|633|1809|1983|3726|4053|4616|5743|6876|7345|8870|27295|29995|80149|92689|140606,ARF4|BGN|DPYSL3|EIF5|JUNB|LTBP2|GADD45B|PTGS2|TAGLN|UCHL1|IER3|PDLIM3|LMCD1|ZC3H12A|FAM114A1|SELENOM,-8.4,0
0,0,1,1,1,1,0,1,0,0,-10,-4.7,-11,-2.1,0,-2.6,M39167,M00111101,5,0,Cell Type Signatures,7,GAO LARGE INTESTINE ADULT CJ IMMUNE CELLS,,-11,6.2,10,30286,505,223,23,10,2,633|1277|1397|1809|3212|3486|3931|4053|4162|4478|6560|7045|8572|8728|9260|9902|25960|30008|51339|54587|55679|122786|170954,BGN|COL1A1|CRIP2|DPYSL3|HOXB2|IGFBP3|LCAT|LTBP2|MCAM|MSN|SLC12A4|TGFBI|PDLIM4|ADAM19|PDLIM7|MRC2|ADGRA2|EFEMP2|DACT1|MXRA8|LIMS2|FRMD6|PPP1R18,-8.4,0
1,1,0,1,1,0,1,0,-2.1,-11,0,-2.1,-3.6,0,-2.5,0,M40013,M11011010,5,0,Cell Type Signatures,7,BUSSLINGER GASTRIC MATURE PIT CELLS,,-11,7.9,11,30286,224,324,19,5.9,1.3,218|760|3171|3248|6337|6819|7032|7103|7430|7850|8537|11199|57016|114569|165679|201501|340547|388743|768239,ALDH3A1|CA2|FOXA3|HPGD|SCNN1A|SULT1C2|TFF2|TSPAN8|EZR|IL1R2|BCAS1|ANXA10|AKR1B10|MAL2|SPTSSB|ZBTB7C|VSIG1|CAPN8|PSAPL1,-8.4,0
1,0,0,0,0,0,1,0,-2.6,0,0,0,0,0,-11,0,M39308,M10000010,2,0,Cell Type Signatures,7,CUI DEVELOPING HEART TRABECULAR ATRIAL CARDIOMYOCYTE,,-11,13,12,30286,179,188,14,7.4,1.9,1756|2058|2923|4008|6185|6713|7184|9131|10159|23184|23420|27122|55500|167681,DMD|EPRS1|PDIA3|LMO7|RPN2|SQLE|HSP90B1|AIFM1|ATP6AP2|MESD|NOMO1|DKK3|ETNK1|PRSS35,-8.2,0
0,1,0,0,0,0,0,0,0,-11,0,0,0,0,0,0,M40029,M01000000,1,0,Cell Type Signatures,7,BUSSLINGER DUODENAL MATURE ENTEROCYTES,,-11,7.2,10,30286,259,324,20,6.2,1.3,338|949|1244|4547|4640|5357|5625|6337|7430|8431|9032|9153|9429|9625|80115|84699|84803|92840|284422|340024,APOB|SCARB1|ABCC2|MTTP|MYO1A|PLS1|PRODH|SCNN1A|EZR|NR0B2|TM4SF5|SLC28A2|ABCG2|AATK|BAIAP2L2|CREB3L3|GPAT3|REEP6|SMIM24|SLC6A19,-8.2,0
