_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-4.4,R-HSA-3656244,Defective B4GALT1 causes B4GALT1-CDG (CDG-2d),M1,1,0
1,-2.6,R-HSA-5625900,RHO GTPases activate CIT,M1,1,0
1,-2.6,R-HSA-5576892,Phase 0 - rapid depolarisation,M1,1,0
1,-5.3,R-HSA-1236394,Signaling by ERBB4,M1,1,0
1,-3.5,R-HSA-352230,Amino acid transport across the plasma membrane,M1,1,0
1,-2.1,R-HSA-2022857,Keratan sulfate degradation,M1,1,0
1,-3,R-HSA-186712,Regulation of beta-cell development,M1,1,0
1,-12,R-HSA-3000157,Laminin interactions,M1,1,0
1,-2.9,R-HSA-3595174,"Defective CHST14 causes EDS, musculocontractural type",M1,1,0
1,-2.9,R-HSA-5632681,Ligand-receptor interactions,M1,1,0
1,-9.5,R-HSA-2129379,Molecules associated with elastic fibres,M1,1,0
1,-9.7,R-HSA-1566948,Elastic fibre formation,M1,1,0
1,-2.7,R-HSA-6806834,Signaling by MET,M1,1,0
1,-3.3,R-HSA-9620244,Long-term potentiation,M1,1,0
1,-2.3,R-HSA-2682334,EPH-Ephrin signaling,M1,1,0
1,-6.4,R-HSA-1971475,A tetrasaccharide linker sequence is required for GAG synthesis,M1,1,0
1,-2.2,R-HSA-917937,Iron uptake and transport,M1,1,0
1,-3.3,R-HSA-5627123,RHO GTPases activate PAKs,M1,1,0
1,-2.3,R-HSA-2024096,HS-GAG degradation,M1,1,0
1,-3.2,R-HSA-400685,Sema4D in semaphorin signaling,M1,1,0
1,-2.5,R-HSA-9762292,Regulation of CDH11 function,M1,1,0
1,-2.9,R-HSA-3595177,Defective CHSY1 causes TPBS,M1,1,0
1,-3.3,R-HSA-419408,Lysosphingolipid and LPA receptors,M1,1,0
1,-2.2,R-HSA-5682910,LGI-ADAM interactions,M1,1,0
1,-13,R-HSA-216083,Integrin cell surface interactions,M1,1,0
1,-2.3,R-HSA-5576891,Cardiac conduction,M1,1,0
1,-9.9,R-HSA-114608,Platelet degranulation,M1,1,0
1,-4.2,R-HSA-1963640,GRB2 events in ERBB2 signaling,M1,1,0
1,-7.5,R-HSA-397014,Muscle contraction,M1,1,0
