_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,Description,_PATTERN_,_RANK_,GiniIndex
0,1,0,0,0,0,0,0,0,-3.7,0,0,0,0,0,0,GO:1990961,xenobiotic detoxification by transmembrane export across the plasma membrane,M01000000,1,0
1,0,0,0,0,0,0,0,-2.6,0,0,0,0,0,0,0,GO:1901658,glycosyl compound catabolic process,M10000000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-11,0,0,0,WP4217,Ebola virus infection in host,M00001000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-4.1,0,0,0,M13863,BIOCARTA MAPK PATHWAY,M00001000,1,0
0,0,0,1,0,0,0,0,0,0,0,-2.7,0,0,0,0,GO:0141091,transforming growth factor beta receptor superfamily signaling pathway,M00010000,1,0
0,0,0,1,0,0,0,0,0,0,0,-3,0,0,0,0,hsa00601,Glycosphingolipid biosynthesis - lacto and neolacto series,M00010000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-14,0,0,0,R-HSA-5610780,Degradation of GLI1 by the proteasome,M00001000,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-4.5,0,0,GO:0071104,response to interleukin-9,M00000100,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-4,0,0,0,GO:0045582,positive regulation of T cell differentiation,M00001000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-2.1,0,0,0,GO:0098926,postsynaptic signal transduction,M00001000,1,0
0,1,0,0,0,0,0,0,0,-2.5,0,0,0,0,0,0,R-HSA-189445,Metabolism of porphyrins,M01000000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.3,0,R-HSA-1660661,Sphingolipid de novo biosynthesis,M00000010,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-4.7,0,0,0,GO:0045428,regulation of nitric oxide biosynthetic process,M00001000,1,0
