_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,Description,_PATTERN_,_RANK_,GiniIndex
0,1,0,0,0,0,0,0,0,-3.5,0,0,0,0,0,0,GO:0071825,protein-lipid complex organization,M01000000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-2.3,0,0,0,GO:0048483,autonomic nervous system development,M00001000,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.7,GO:0044088,regulation of vacuole organization,M00000001,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,-2.6,0,0,R-HSA-199418,Negative regulation of the PI3K/AKT network,M00000100,1,0
0,0,1,0,0,0,0,0,0,0,-2.5,0,0,0,0,0,GO:0010971,positive regulation of G2/M transition of mitotic cell cycle,M00100000,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.2,R-HSA-5619115,Disorders of transmembrane transporters,M00000001,1,0
0,1,0,0,0,0,0,0,0,-3.4,0,0,0,0,0,0,R-HSA-9753281,Paracetamol ADME,M01000000,1,0
0,1,0,0,0,0,0,0,0,-3.2,0,0,0,0,0,0,GO:0097237,cellular response to toxic substance,M01000000,1,0
0,1,0,0,0,0,0,0,0,-2.6,0,0,0,0,0,0,WP357,Fatty acid biosynthesis,M01000000,1,0
0,0,1,0,0,0,0,0,0,0,-2.3,0,0,0,0,0,GO:0051965,positive regulation of synapse assembly,M00100000,1,0
0,0,1,0,0,0,0,0,0,0,-2.4,0,0,0,0,0,GO:0043331,response to dsRNA,M00100000,1,0
0,0,0,0,1,0,0,0,0,0,0,0,-2.8,0,0,0,WP3680,Physico chemical features and toxicity associated pathways,M00001000,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-3.9,GO:0046349,amino sugar biosynthetic process,M00000001,1,0
