_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,1,0,0,0,0,0,0,-5.9,-20,0,0,0,0,0,0,M40028,M11000000,2,0,Cell Type Signatures,7,BUSSLINGER DUODENAL LATE IMMATURE ENTEROCYTES,,-20,12,16,30293,177,367,26,7.1,1.3,13|34|216|338|760|1543|2168|2628|3158|3174|4224|4547|4640|5357|6505|6817|9032|9429|22977|57016|64284|79154|79908|92840|283375|284422,AADAC|ACADM|ALDH1A1|APOB|CA2|CYP1A1|FABP1|GATM|HMGCS2|HNF4G|MEP1A|MTTP|MYO1A|PLS1|SLC1A1|SULT1A1|TM4SF5|ABCG2|AKR7A3|AKR1B10|RAB17|DHRS11|BTNL8|REEP6|SLC39A5|SMIM24,-17,0
1,0,1,1,1,0,0,1,-2.5,0,-14,-9.2,-18,0,0,-9.2,M39264,M10111001,5,0,Cell Type Signatures,7,HU FETAL RETINA FIBROBLAST,,-18,9.4,15,30293,385,234,28,12,2.1,633|1266|1277|1490|2275|2335|2354|3491|3726|4017|4162|4478|4616|4627|5216|6282|7041|7045|7168|7171|7798|8460|9902|10398|25932|25937|29940|54587,BGN|CNN3|COL1A1|CCN2|FHL3|FN1|FOSB|CCN1|JUNB|LOXL2|MCAM|MSN|GADD45B|MYH9|PFN1|S100A11|TGFB1I1|TGFBI|TPM1|TPM4|LUZP1|TPST1|MRC2|MYL9|CLIC4|WWTR1|DSE|MXRA8,-15,0
1,1,1,1,1,1,1,1,-8.5,-3.2,-3.3,-10,-7.2,-17,-4.8,-3.7,M39174,M11111111,8,0,Cell Type Signatures,7,MURARO PANCREAS ACINAR CELL,,-17,4.9,12,30293,731,370,44,12,1.7,330|467|718|999|1316|1364|2280|2887|2920|2921|3459|3606|4050|4070|5420|6364|7050|7431|7448|7763|8795|9618|11135|11177|23120|23471|26353|27289|50848|51155|55742|57561|80736|81607|84419|90427|91107|93010|135112|153090|162394|347735|389384|441478,BIRC3|ATF3|C3|CDH1|KLF6|CLDN4|FKBP1A|GRB10|CXCL2|CXCL3|IFNGR1|IL18|LTB|TACSTD2|PODXL|CCL20|TGIF1|VIM|VTN|ZFAND5|TNFRSF10B|TRAF4|CDC42EP1|BAZ1A|ATP10B|TRAM1|HSPB8|RND1|F11R|JPT1|PARVA|ARRDC3|SLC44A4|NECTIN4|C15orf48|BMF|TRIM47|B3GNT7|NCOA7|DAB2IP|SLFN5|SERINC2|BNIP5|NRARP,-14,0
0,0,0,1,1,1,0,0,0,0,0,-9.7,-17,-9.7,0,0,M41697,M00011100,3,0,Cell Type Signatures,7,TRAVAGLINI LUNG EREG DENDRITIC CELL,,-17,7.2,13,30293,579,234,32,14,2.2,60|71|87|388|861|1499|2120|2354|3685|4616|5045|5271|5329|5791|6282|6498|7045|7057|7171|7408|8728|8870|9260|10019|10092|11010|11031|29940|51330|57514|80149|84790,ACTB|ACTG1|ACTN1|RHOB|RUNX1|CTNNB1|ETV6|FOSB|ITGAV|GADD45B|FURIN|SERPINB8|PLAUR|PTPRE|S100A11|SKIL|TGFBI|THBS1|TPM4|VASP|ADAM19|IER3|PDLIM7|SH2B3|ARPC5|GLIPR1|RAB31|DSE|TNFRSF12A|ARHGAP31|ZC3H12A|TUBA1C,-14,0
0,0,1,1,1,1,0,0,0,0,-3.1,-7.8,-17,-7.6,0,0,M39176,M00111100,4,0,Cell Type Signatures,7,MURARO PANCREAS ENDOTHELIAL CELL,,-17,9.3,14,30293,362,234,26,11,2.1,633|659|1072|1499|3685|4092|4162|4478|4627|5054|5791|6251|7057|7798|10019|11031|11346|25932|25937|26064|51177|56262|56937|57514|83786|91010,BGN|BMPR2|CFL1|CTNNB1|ITGAV|SMAD7|MCAM|MSN|MYH9|SERPINE1|PTPRE|RSU1|THBS1|LUZP1|SH2B3|RAB31|SYNPO|CLIC4|WWTR1|RAI14|PLEKHO1|LRRC8A|PMEPA1|ARHGAP31|FRMD8|FMNL3,-14,0
0,0,0,1,1,1,0,0,0,0,0,-9.6,-17,-14,0,0,M39135,M00011100,3,0,Cell Type Signatures,7,AIZARANI LIVER C39 EPCAM POS BILE DUCT CELLS 4,,-17,14,16,30293,184,234,20,8.5,1.8,71|1906|3084|3315|3624|3855|3918|3976|4134|4162|4627|6282|7057|7168|7171|10272|51330|56937|80176|91663,ACTG1|EDN1|NRG1|HSPB1|INHBA|KRT7|LAMC2|LIF|MAP4|MCAM|MYH9|S100A11|THBS1|TPM1|TPM4|FSTL3|TNFRSF12A|PMEPA1|SPSB1|MYADM,-13,0
1,1,0,0,0,0,0,0,-5,-16,0,0,0,0,0,0,M39118,M11000000,2,0,Cell Type Signatures,7,AIZARANI LIVER C14 HEPATOCYTES 2,,-16,9.1,14,30293,226,367,25,6.8,1.3,173|216|259|335|338|350|433|1892|1962|2168|2628|2705|2938|2939|3158|5005|5345|7276|10247|10840|10841|29974|51085|92840|256394,AFM|ALDH1A1|AMBP|APOA1|APOB|APOH|ASGR2|ECHS1|EHHADH|FABP1|GATM|GJB1|GSTA1|GSTA2|HMGCS2|ORM2|SERPINF2|TTR|RIDA|ALDH1L1|FTCD|A1CF|MLXIPL|REEP6|SERPINA11,-13,0
1,1,1,0,0,0,0,0,-2.7,-16,-2.8,0,0,0,0,0,M40027,M11100000,3,0,Cell Type Signatures,7,BUSSLINGER DUODENAL EARLY IMMATURE ENTEROCYTES,,-16,14,15,30293,113,367,19,5.2,1.2,13|126|216|760|1537|1644|2168|2628|2938|2939|3158|4547|7103|8802|57016|79154|92840|284422|400916,AADAC|ADH1C|ALDH1A1|CA2|CYC1|DDC|FABP1|GATM|GSTA1|GSTA2|HMGCS2|MTTP|TSPAN8|SUCLG1|AKR1B10|DHRS11|REEP6|SMIM24|CHCHD10,-13,0
0,0,0,0,1,1,0,1,0,0,0,0,-16,-4.5,0,-3,M41669,M00001101,3,0,Cell Type Signatures,7,TRAVAGLINI LUNG BRONCHIAL VESSEL 2 CELL,,-16,10,14,30293,272,234,22,9.4,1.9,60|71|378|1490|1499|2120|2335|2354|3491|3726|4616|5329|7071|7171|7408|8553|10221|10398|25932|29995|51330|56882,ACTB|ACTG1|ARF4|CCN2|CTNNB1|ETV6|FN1|FOSB|CCN1|JUNB|GADD45B|PLAUR|KLF10|TPM4|VASP|BHLHE40|TRIB1|MYL9|CLIC4|LMCD1|TNFRSF12A|CDC42SE1,-12,0
0,0,0,1,1,1,0,0,0,0,0,-2.7,-15,-4.2,0,0,M41691,M00011100,3,0,Cell Type Signatures,7,TRAVAGLINI LUNG PLATELET MEGAKARYOCYTE CELL,,-15,6.4,12,30293,604,234,30,13,2.2,60|87|378|2778|3480|3855|4097|4627|5270|5534|6251|7040|7041|7168|7171|8407|8572|9260|10049|10092|10398|10487|25932|26994|51177|80790|84790|90853|91300|387521,ACTB|ACTN1|ARF4|GNAS|IGF1R|KRT7|MAFG|MYH9|SERPINE2|PPP3R1|RSU1|TGFB1|TGFB1I1|TPM1|TPM4|TAGLN2|PDLIM4|PDLIM7|DNAJB6|ARPC5|MYL9|CAP1|CLIC4|RNF11|PLEKHO1|CMIP|TUBA1C|SPOCD1|R3HDM4|PEDS1,-12,0
