Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Reactome Gene Sets,6,R-HSA-76002,"Platelet activation, signaling and aggregation",,-3.7,2.5,4.3,30293,263,922,20,2.2,0.48,2|197|1277|1607|2243|2244|2266|2791|3709|5099|5155|5196|5908|6810|6850|8503|10630|22915|29106|54518,A2M|AHSG|COL1A1|DGKB|FGA|FGB|FGG|GNG11|ITPR2|PCDH7|PDGFB|PF4|RAP1B|STX4|SYK|PIK3R3|PDPN|MMRN1|SCG3|APBB1IP,-2.1,MyList
Reactome Gene Sets,6,R-HSA-9758941,Gastrulation,,-3.7,3.5,4.7,30293,114,922,12,1.3,0.37,3169|4851|5076|5080|6656|6657|7546|9241|9839|10197|10683|64321,FOXA1|NOTCH1|PAX2|PAX6|SOX1|SOX2|ZIC2|NOG|ZEB2|PSME3|DLL3|SOX17,-2.1,MyList
Reactome Gene Sets,6,R-HSA-8875878,MET promotes cell motility,,-3.7,5.6,5.2,30293,41,922,7,0.76,0.29,1277|1280|1281|1301|3673|3918|5908,COL1A1|COL2A1|COL3A1|COL11A1|ITGA2|LAMC2|RAP1B,-2,MyList
Reactome Gene Sets,6,R-HSA-3906995,Diseases associated with O-glycosylation of proteins,,-3.6,4.3,4.8,30293,69,922,9,0.98,0.32,4582|4583|4851|10418|56667|56999|57188|140453|170689,MUC1|MUC2|NOTCH1|SPON1|MUC13|ADAMTS9|ADAMTSL3|MUC17|ADAMTS15,-2,MyList
Reactome Gene Sets,6,R-HSA-8874081,MET activates PTK2 signaling,,-3.6,6.6,5.4,30293,30,922,6,0.65,0.26,1277|1280|1281|1301|3673|3918,COL1A1|COL2A1|COL3A1|COL11A1|ITGA2|LAMC2,-2,MyList
Reactome Gene Sets,6,R-HSA-418594,G alpha (i) signalling events,,-3.5,2.3,4,30293,318,922,22,2.4,0.5,107|111|114|134|301|623|718|846|2791|2913|2921|3576|3709|3838|5142|5196|5516|6004|6374|9290|84152|85397,ADCY1|ADCY5|ADCY8|ADORA1|ANXA1|BDKRB1|C3|CASR|GNG11|GRM3|CXCL3|CXCL8|ITPR2|KPNA2|PDE4B|PF4|PPP2CB|RGS16|CXCL5|GPR55|PPP1R1B|RGS8,-1.8,MyList
Reactome Gene Sets,6,R-HSA-8963693,Aspartate and asparagine metabolism,,-3.5,11,6.1,30293,12,922,4,0.43,0.22,2346|339896|339983|374569,FOLH1|GADL1|NAT8L|ASPG,-1.8,MyList
Reactome Gene Sets,6,R-HSA-210745,Regulation of gene expression in beta cells,,-3.5,7.8,5.5,30293,21,922,5,0.54,0.24,3651|4760|4821|4825|5080,PDX1|NEUROD1|NKX2-2|NKX6-1|PAX6,-1.8,MyList
Reactome Gene Sets,6,R-HSA-983189,Kinesins,,-3.4,4.5,4.7,30293,59,922,8,0.87,0.31,547|1062|3833|3835|11004|24137|26153|81027,KIF1A|CENPE|KIFC1|KIF22|KIF2C|KIF4A|KIF26A|TUBB1,-1.8,MyList
Reactome Gene Sets,6,R-HSA-2559585,Oncogene Induced Senescence,,-3.4,6,5.1,30293,33,922,6,0.65,0.26,1030|1870|2114|3397|23112|26523,CDKN2B|E2F2|ETS2|ID1|TNRC6B|AGO1,-1.8,MyList
Reactome Gene Sets,6,R-HSA-140875,Common Pathway of Fibrin Clot Formation,,-3.4,7.5,5.4,30293,22,922,5,0.54,0.24,2243|2244|2266|5104|5196,FGA|FGB|FGG|SERPINA5|PF4,-1.8,MyList
Reactome Gene Sets,6,R-HSA-3781865,Diseases of glycosylation,,-3.3,3,4.2,30293,144,922,13,1.4,0.39,1634|3339|4582|4583|4851|6382|10418|10675|56667|56999|57188|140453|170689,DCN|HSPG2|MUC1|MUC2|NOTCH1|SDC1|SPON1|CSPG5|MUC13|ADAMTS9|ADAMTSL3|MUC17|ADAMTS15,-1.7,MyList
Reactome Gene Sets,6,R-HSA-2682334,EPH-Ephrin signaling,,-3.3,3.6,4.4,30293,92,922,10,1.1,0.34,1212|1942|1947|2042|2045|4313|4318|5063|10627|79784,CLTB|EFNA1|EFNB1|EPHA3|EPHA7|MMP2|MMP9|PAK3|MYL12A|MYH14,-1.7,MyList
Reactome Gene Sets,6,R-HSA-375165,NCAM signaling for neurite out-growth,,-3.2,4.2,4.5,30293,63,922,8,0.87,0.31,1280|1281|1282|1285|1293|2675|4684|6900,COL2A1|COL3A1|COL4A1|COL4A3|COL6A3|GFRA2|NCAM1|CNTN2,-1.6,MyList
Reactome Gene Sets,6,R-HSA-112315,Transmission across Chemical Synapses,,-3.2,2.3,3.8,30293,270,922,19,2.1,0.47,107|111|114|1136|1137|1143|2555|2562|2791|2890|2899|3772|3838|6506|6511|6539|6616|8224|81027,ADCY1|ADCY5|ADCY8|CHRNA3|CHRNA4|CHRNB4|GABRA2|GABRB3|GNG11|GRIA1|GRIK3|KCNJ15|KPNA2|SLC1A2|SLC1A6|SLC6A12|SNAP25|SYN3|TUBB1,-1.6,MyList
Reactome Gene Sets,6,R-HSA-452723,Transcriptional regulation of pluripotent stem cells,,-3.2,6.8,5.1,30293,24,922,5,0.54,0.24,6299|6657|9314|55211|79727,SALL1|SOX2|KLF4|DPPA4|LIN28A,-1.6,MyList
Reactome Gene Sets,6,R-HSA-913709,O-linked glycosylation of mucins,,-3.2,4.1,4.4,30293,64,922,8,0.87,0.31,4582|4583|9245|50614|56667|64409|93010|140453,MUC1|MUC2|GCNT3|GALNT9|MUC13|GALNT17|B3GNT7|MUC17,-1.6,MyList
Reactome Gene Sets,6,R-HSA-373755,Semaphorin interactions,,-3.1,4,4.4,30293,65,922,8,0.87,0.31,1809|5063|8482|10627|56896|57556|79784|91584,DPYSL3|PAK3|SEMA7A|MYL12A|DPYSL5|SEMA6A|MYH14|PLXNA4,-1.6,MyList
Reactome Gene Sets,6,R-HSA-3928665,EPH-ephrin mediated repulsion of cells,,-3.1,4.5,4.4,30293,51,922,7,0.76,0.29,1212|1942|1947|2042|2045|4313|4318,CLTB|EFNA1|EFNB1|EPHA3|EPHA7|MMP2|MMP9,-1.5,MyList
Reactome Gene Sets,6,R-HSA-9648895,Response of EIF2AK1 (HRI) to heme deficiency,,-3.1,8.8,5.3,30293,15,922,4,0.43,0.22,467|23645|57761|79094,ATF3|PPP1R15A|TRIB3|CHAC1,-1.5,MyList
Reactome Gene Sets,6,R-HSA-629587,Highly sodium permeable postsynaptic acetylcholine nicotinic receptors,,-3,14,6.1,30293,7,922,3,0.33,0.19,1136|1137|1143,CHRNA3|CHRNA4|CHRNB4,-1.5,MyList
Reactome Gene Sets,6,R-HSA-425366,"Transport of bile salts and organic acids, metal ions and amine compounds",,-3,3.6,4.1,30293,83,922,9,0.98,0.32,1356|6539|6570|7780|9123|11254|26266|55117|169026,CP|SLC6A12|SLC18A1|SLC30A2|SLC16A3|SLC6A14|SLC13A4|SLC6A15|SLC30A8,-1.5,MyList
Reactome Gene Sets,6,R-HSA-1971475,A tetrasaccharide linker sequence is required for GAG synthesis,,-3,6.3,4.8,30293,26,922,5,0.54,0.24,1634|3339|6382|10675|27087,DCN|HSPG2|SDC1|CSPG5|B3GAT1,-1.5,MyList
Reactome Gene Sets,6,R-HSA-373760,L1CAM interactions,,-3,3,3.9,30293,119,922,11,1.2,0.36,1641|2596|3673|3678|3785|4684|6328|6900|10752|24137|81027,DCX|GAP43|ITGA2|ITGA5|KCNQ2|NCAM1|SCN3A|CNTN2|CHL1|KIF4A|TUBB1,-1.5,MyList
Reactome Gene Sets,6,R-HSA-194315,Signaling by Rho GTPases,,-3,1.7,3.4,30293,706,922,37,4,0.65,332|699|701|991|1062|1063|1152|2697|3163|4085|5063|5099|5347|5516|7444|8153|8503|9212|9235|9590|10395|10403|10627|11004|11075|11113|22899|26050|27035|55143|55701|56667|57580|65992|79784|81027|148170,BIRC5|BUB1|BUB1B|CDC20|CENPE|CENPF|CKB|GJA1|HMOX2|MAD2L1|PAK3|PCDH7|PLK1|PPP2CB|VRK2|RND2|PIK3R3|AURKB|IL32|AKAP12|DLC1|NDC80|MYL12A|KIF2C|STMN2|CIT|ARHGEF15|SLITRK5|NOX1|CDCA8|ARHGEF40|MUC13|PREX1|DDRGK1|MYH14|TUBB1|CDC42EP5,-1.5,MyList
Reactome Gene Sets,6,R-HSA-140877,Formation of Fibrin Clot (Clotting Cascade),,-3,5.1,4.5,30293,39,922,6,0.65,0.26,2|2243|2244|2266|5104|5196,A2M|FGA|FGB|FGG|SERPINA5|PF4,-1.5,MyList
Reactome Gene Sets,6,R-HSA-69278,"Cell Cycle, Mitotic",,-2.9,1.8,3.5,30293,560,922,31,3.4,0.59,332|699|701|894|991|1028|1030|1062|1063|1870|4085|4175|4176|5347|5516|7153|7444|9133|9212|9232|9837|10133|10197|10403|11004|11065|22974|23194|55143|81027|128866,BIRC5|BUB1|BUB1B|CCND2|CDC20|CDKN1C|CDKN2B|CENPE|CENPF|E2F2|MAD2L1|MCM6|MCM7|PLK1|PPP2CB|TOP2A|VRK2|CCNB2|AURKB|PTTG1|GINS1|OPTN|PSME3|NDC80|KIF2C|UBE2C|TPX2|FBXL7|CDCA8|TUBB1|CHMP4B,-1.4,MyList
Reactome Gene Sets,6,R-HSA-388841,Costimulation by the CD28 family,,-2.9,3.8,4.1,30293,69,922,8,0.87,0.31,3119|3120|3123|3127|5063|5516|8503|57761,HLA-DQB1|HLA-DQB2|HLA-DRB1|HLA-DRB5|PAK3|PPP2CB|PIK3R3|TRIB3,-1.4,MyList
Reactome Gene Sets,6,R-HSA-6794362,Protein-protein interactions at synapses,,-2.9,3.4,4,30293,86,922,9,0.98,0.32,2890|4916|5802|9378|22941|26050|50944|78999|94030,GRIA1|NTRK3|PTPRS|NRXN1|SHANK2|SLITRK5|SHANK1|LRFN4|LRRC4B,-1.4,MyList
Reactome Gene Sets,6,R-HSA-210747,Regulation of gene expression in early pancreatic precursor cells,,-2.9,12,5.7,30293,8,922,3,0.33,0.19,2255|3651|4825,FGF10|PDX1|NKX6-1,-1.4,MyList
Reactome Gene Sets,6,R-HSA-5621480,Dectin-2 family,,-2.8,5.9,4.6,30293,28,922,5,0.54,0.24,4582|4583|6850|56667|140453,MUC1|MUC2|SYK|MUC13|MUC17,-1.4,MyList
Reactome Gene Sets,6,R-HSA-9759475,Regulation of CDH11 Expression and Function,,-2.8,5.9,4.6,30293,28,922,5,0.54,0.24,9839|23112|26523|27319|56978,ZEB2|TNRC6B|AGO1|BHLHE22|PRDM8,-1.4,MyList
Reactome Gene Sets,6,R-HSA-9006936,Signaling by TGFB family members,,-2.8,2.9,3.8,30293,124,922,11,1.2,0.36,1030|3694|3696|3726|4052|9040|9241|10272|23645|57530|91851,CDKN2B|ITGB6|ITGB8|JUNB|LTBP1|UBE2M|NOG|FSTL3|PPP1R15A|CGN|CHRDL1,-1.4,MyList
Reactome Gene Sets,6,R-HSA-68877,Mitotic Prometaphase,,-2.8,2.4,3.6,30293,204,922,15,1.6,0.42,332|699|701|991|1062|1063|4085|5347|5516|9133|9212|10403|11004|55143|81027,BIRC5|BUB1|BUB1B|CDC20|CENPE|CENPF|MAD2L1|PLK1|PPP2CB|CCNB2|AURKB|NDC80|KIF2C|CDCA8|TUBB1,-1.3,MyList
Reactome Gene Sets,6,R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",,-2.8,1.7,3.3,30293,722,922,37,4,0.65,332|699|701|991|1062|1063|1152|2697|3163|4085|5063|5099|5347|5516|7444|8153|8503|9212|9235|9590|10395|10403|10627|11004|11075|11113|22899|26050|27035|55143|55701|56667|57580|65992|79784|81027|148170,BIRC5|BUB1|BUB1B|CDC20|CENPE|CENPF|CKB|GJA1|HMOX2|MAD2L1|PAK3|PCDH7|PLK1|PPP2CB|VRK2|RND2|PIK3R3|AURKB|IL32|AKAP12|DLC1|NDC80|MYL12A|KIF2C|STMN2|CIT|ARHGEF15|SLITRK5|NOX1|CDCA8|ARHGEF40|MUC13|PREX1|DDRGK1|MYH14|TUBB1|CDC42EP5,-1.3,MyList
Reactome Gene Sets,6,R-HSA-397014,Muscle contraction,,-2.8,2.4,3.6,30293,205,922,15,1.6,0.42,301|302|477|844|2258|3709|3776|6328|6546|6547|7168|7169|10627|25802|59284,ANXA1|ANXA2|ATP1A2|CASQ1|FGF13|ITPR2|KCNK2|SCN3A|SLC8A1|SLC8A3|TPM1|TPM2|MYL12A|LMOD1|CACNG7,-1.3,MyList
