GO,Description,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only
GO:0019725,cellular homeostasis,0.0,-2.285504072956635,0.0,0.0,0.0,0.0,-4.450809906072042,0.0
GO:0051336,regulation of hydrolase activity,-3.0788304036443246,-3.7852493717947233,0.0,-2.4170118189221506,-6.512825774461501,0.0,-2.073793235965081,0.0
R-HSA-382551,Transport of small molecules,-2.7945011324240663,-8.213503732047341,0.0,-2.0951334334121823,-4.3894077852973785,0.0,0.0,-2.113220826459915
GO:0010035,response to inorganic substance,-6.126382433988219,-2.125277739799185,0.0,0.0,-2.6500396816714202,0.0,0.0,0.0
WP15,Selenium micronutrient network,-2.175604563862278,-4.2113228026013765,0.0,0.0,-4.286513160236604,0.0,0.0,0.0
GO:0006979,response to oxidative stress,-10.231262002016509,0.0,0.0,0.0,-2.7393318246615705,0.0,0.0,0.0
hsa04810,Regulation of actin cytoskeleton,-3.0758734176140656,0.0,0.0,0.0,-2.739638731531737,0.0,0.0,0.0
R-HSA-446203,Asparagine N-linked glycosylation,0.0,0.0,0.0,0.0,0.0,0.0,-9.11638980193798,-12.874337055268052
hsa04141,Protein processing in endoplasmic reticulum,0.0,0.0,0.0,0.0,0.0,0.0,-4.480974560149009,-13.9850925594492
GO:0006457,protein folding,0.0,0.0,0.0,0.0,0.0,0.0,-11.23284119386314,-6.138317381653365
GO:0051604,protein maturation,0.0,0.0,0.0,0.0,0.0,0.0,-11.892792516954334,-6.838601888513229
M5924,HALLMARK MTORC1 SIGNALING,0.0,0.0,0.0,0.0,0.0,0.0,-24.41798478022821,-3.1457866611180347
GO:1903829,positive regulation of protein localization,0.0,0.0,0.0,0.0,0.0,0.0,-3.699830010292112,-3.0420752840754663
GO:0006886,intracellular protein transport,0.0,0.0,0.0,0.0,0.0,-2.558604983548402,-7.346495416693999,-10.321493780899896
GO:0051668,localization within membrane,0.0,0.0,0.0,-2.969006291613274,0.0,0.0,-5.518958840288278,-3.5843748095007046
R-HSA-5653656,Vesicle-mediated transport,0.0,-2.32755603132559,0.0,-2.813604283239689,0.0,-3.037763789839459,-8.405582217529254,-6.19348076195128
R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,0.0,0.0,0.0,0.0,-2.643678580882531,0.0,-2.3121153474043137,-5.050270820135871
GO:0030163,protein catabolic process,0.0,0.0,0.0,0.0,-7.595059457407448,0.0,-2.2674186097080877,-5.8494668108033645
WP3888,VEGFA VEGFR2 signaling,0.0,0.0,0.0,0.0,-6.677642592743758,-2.1377671561797476,-2.381899063981999,-6.089514251716696
M5930,HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,0.0,0.0,0.0,-2.00389187642979,-9.366058931530086,0.0,-3.204045968237469,-3.9163801272308163
