_MEMBER_down_common_genes,_MEMBER_down_epi_only,_MEMBER_down_mes_only,_MEMBER_down_mes_up_epi,_MEMBER_up_common_genes,_MEMBER_up_epi_only,_MEMBER_up_mes_down_epi,_MEMBER_up_mes_only,_LogP_down_common_genes,_LogP_down_epi_only,_LogP_down_mes_only,_LogP_down_mes_up_epi,_LogP_up_common_genes,_LogP_up_epi_only,_LogP_up_mes_down_epi,_LogP_up_mes_only,GO,Description,_PATTERN_,_RANK_,GiniIndex
0,0,0,0,1,1,0,0,0,0,0,0,-3.6,-2.5,0,0,GO:2000116,regulation of cysteine-type endopeptidase activity,M00001100,2,0
0,0,1,1,0,0,0,0,0,0,-2.6,-2.1,0,0,0,0,GO:0048706,embryonic skeletal system development,M00110000,2,0
0,0,0,0,1,1,0,0,0,0,0,0,-14,-4.5,0,0,hsa04668,TNF signaling pathway,M00001100,2,0
1,0,0,1,0,0,0,0,-2.2,0,0,-2.2,0,0,0,0,GO:0043086,negative regulation of catalytic activity,M10010000,2,0
0,0,0,0,1,1,0,0,0,0,0,0,-5.5,-2.1,0,0,hsa05171,Coronavirus disease - COVID-19,M00001100,2,0
1,0,0,0,0,0,1,0,-4.3,0,0,0,0,0,-3.1,0,R-HSA-5668914,Diseases of metabolism,M10000010,2,0
0,1,0,0,0,0,1,0,0,-2.7,0,0,0,0,-3,0,GO:0046887,positive regulation of hormone secretion,M01000010,2,0
0,0,0,0,1,1,0,0,0,0,0,0,-5.9,-6.9,0,0,GO:1903037,regulation of leukocyte cell-cell adhesion,M00001100,2,0
1,0,0,1,0,0,0,0,-2.8,0,0,-3.2,0,0,0,0,GO:0006469,negative regulation of protein kinase activity,M10010000,2,0
0,0,0,0,1,1,0,0,0,0,0,0,-8.7,-3.3,0,0,GO:0001775,cell activation,M00001100,2,0
0,1,1,0,0,0,0,0,0,-2.3,-3.7,0,0,0,0,0,M241,PID RAC1 REG PATHWAY,M01100000,2,0
1,0,0,0,0,0,0,1,-4.4,0,0,0,0,0,0,-5.1,GO:0071363,cellular response to growth factor stimulus,M10000001,2,0
1,0,0,0,1,0,0,0,-2,0,0,0,-3.7,0,0,0,GO:0070555,response to interleukin-1,M10001000,2,0
0,0,0,0,1,1,0,0,0,0,0,0,-2.6,-2.9,0,0,GO:0050691,regulation of defense response to virus by host,M00001100,2,0
0,0,0,0,1,0,0,1,0,0,0,0,-3.2,0,0,-2.7,GO:0001911,negative regulation of leukocyte mediated cytotoxicity,M00001001,2,0
1,0,0,0,1,0,0,0,-2.4,0,0,0,-2.1,0,0,0,R-HSA-9614085,FOXO-mediated transcription,M10001000,2,0
0,0,0,0,1,1,0,0,0,0,0,0,-4.3,-3.5,0,0,GO:0032655,regulation of interleukin-12 production,M00001100,2,0
0,0,0,0,1,1,0,0,0,0,0,0,-2,-2.3,0,0,GO:0006919,activation of cysteine-type endopeptidase activity involved in apoptotic process,M00001100,2,0
1,0,0,0,0,1,0,0,-2.6,0,0,0,0,-3.8,0,0,GO:0046330,positive regulation of JNK cascade,M10000100,2,0
0,0,0,0,1,1,0,0,0,0,0,0,-5.7,-6.6,0,0,GO:1903039,positive regulation of leukocyte cell-cell adhesion,M00001100,2,0
