GO,Description,_LogP_modules_epi_black_sorted_top300,_LogP_modules_epi_blue_sorted_top300,_LogP_modules_epi_pink_sorted_top300,_LogP_modules_epi_red_sorted_top300,_LogP_modules_epi_turquoise_sorted_top300,_LogP_modules_epi_yellow_sorted_top300
GO:0048729,tissue morphogenesis,-2.318475309297735,0.0,0.0,-2.7466149735054324,-11.352697198794099,-3.6910685757355193
M5930,HALLMARK EPITHELIAL MESENCHYMAL TRANSITION,-2.405422744675795,0.0,0.0,-2.405422744675795,-19.560479543172615,-4.474280004486171
GO:0030029,actin filament-based process,-4.341532683721467,0.0,0.0,-2.895914705482238,-21.36603638553575,-13.662143559349051
GO:0009611,response to wounding,-4.626121906407368,-2.015666837042557,0.0,-5.2453706670292295,-7.265407599834422,-9.504753450214686
GO:0001944,vasculature development,-2.4735558706094842,-2.069437407263083,0.0,-2.0586138019141664,-11.028325385420906,-8.138446368433117
GO:0040008,regulation of growth,-2.4437315088553517,0.0,-4.324024739098839,-3.3208013193675834,-4.834857203557913,-3.3208013193675834
M5947,HALLMARK IL2 STAT5 SIGNALING,-3.0587099243936797,0.0,-8.812636096039355,-2.4172954859525926,-5.277137733993826,-3.752057072468758
M145,PID P53 DOWNSTREAM PATHWAY,-3.349259066178766,0.0,-4.166090262705524,-4.155988159401058,-2.602573346801452,-2.602573346801452
GO:0030097,hemopoiesis,-9.580112352014384,0.0,-6.447370907859391,-5.294739287178047,-4.763171893231468,-6.421817208459012
GO:0050865,regulation of cell activation,-5.8311418013277345,0.0,-11.866558317437944,-4.198473472316813,-2.3705744770187387,-5.8311418013277345
GO:0008285,negative regulation of cell population proliferation,-3.4580811668660365,0.0,-4.883271974163251,-3.4580811668660365,-4.860698169461181,-7.600856891914687
GO:0044092,negative regulation of molecular function,-3.182132291962204,0.0,-2.3970974683677997,-2.7702213946534306,-4.076792188241448,-6.1257328648152924
hsa05200,Pathways in cancer,-9.07097933009287,0.0,-3.5389150085857013,-2.576021627199047,-5.7524421037576765,-6.372043646435398
GO:0007167,enzyme-linked receptor protein signaling pathway,-7.104230578509946,0.0,-3.291240101491407,-3.750721669750633,-8.392413567355304,-7.104230578509946
GO:0031401,positive regulation of protein modification process,-6.417873198217649,0.0,-3.0330880731985754,-2.2466428150124806,-10.737522164817653,-3.8818337021015332
GO:0043408,regulation of MAPK cascade,-5.963765292577637,0.0,-2.5396994822891408,-2.137000964178215,-11.86840248968642,-5.963765292577637
GO:0030099,myeloid cell differentiation,-6.633511533500679,0.0,-2.6117421167158397,-5.146513893209796,-5.873949769665956,-4.453182473335047
